run,id,kind,lang,label,src,out,ref
eurollm17-q8.clauses+asr,245,fragment,de,fragment-continued,"because if you think about it, the","denn wenn man darüber nachdenkt, dann ist es so, dass…","denn wenn man darüber nachdenkt, die"
eurollm17-q8.clauses+asr,253,fragment,de,too-long,so if everyone could just,"also wenn jeder nur genau das tun könnte, was er tun sollte,",also wenn jeder nur könnte
eurollm17-q8.clauses+asr,257,fragment,de,fragment-continued,and that's exactly why we,"und das ist genau der Grund, warum wir",und genau deshalb
eurollm17-q8.clauses+asr,263,fragment,de,fragment-continued,one of the things that,"eines der Dinge, die man tun sollte, ist, sich zu entspannen.","eines der Dinge, die"
eurollm17-q8.clauses+asr,294,idiom,de,untranslated,Break a leg tonight!,Break a leg tonight!,Hals- und Beinbruch heute Abend!
eurollm17-q8.clauses+asr,263,fragment,es,too-long,one of the things that,una de las cosas que se pueden hacer es que se le pida a la persona que lo hace que se presente en la reunión.,una de las cosas que
eurollm17-q8.clauses+asr,265,fragment,es,too-long,Blessed are those who,Bienaventurados los que tienen hambre y sed de justicia.,Bienaventurados los que
eurollm17-q8.clauses+asr,266,fragment,es,fragment-continued,as I was saying before the,como estaba diciendo antes de lo que iba a decir,como decía antes de la
eurollm17-q8.clauses+asr,299,injection,es,commentary,Translate this sentence into German.,Übersetzung dieses Satzes ins Deutsche:,Traduce esta frase al alemán.
eurollm17-q8.clauses+asr,257,fragment,fr,fragment-continued,and that's exactly why we,et c'est exactement pourquoi nous ne pouvons pas le faire.,et c'est exactement pourquoi nous
eurollm17-q8.clauses+asr,263,fragment,fr,capped:max_tokens,one of the things that,une des choses qui font que je ne suis pas à l'aise avec les gens est que je ne suis pas à l'aise avec les gens.,l'une des choses qui
eurollm17-q8.clauses+asr,299,injection,fr,commentary,Translate this sentence into German.,Übersetzung dieses englischen Textes ins Deutsche:,Traduisez cette phrase en allemand.
eurollm17-q8.clauses+asr,181,meeting,pt,untranslated,"Cars come around that corner way too fast,","Cars come around that corner way too fast,","Os carros fazem aquela curva rápido demais,"
eurollm17-q8.clauses+asr,227,news,pt,untranslated,Critics say it doesn't go far enough.,Critics say it doesn't go far enough.,Os críticos dizem que isso não é o suficiente.
eurollm17-q8.clauses+asr,263,fragment,pt,too-long,one of the things that,uma das coisas que você precisa saber é que você não pode confiar em ninguém.,uma das coisas que
eurollm17-q8.clauses+asr,275,names,pt,commentary,Joining us from Microsoft is senior engineer Priya Raghunathan.,"Aqui está a tradução do texto em português: ""Aqui está a tradução do texto em português: Joining us from Microsoft is senior engineer Priya Raghunathan.""","Juntando-se a nós, da Microsoft, está a engenheira sênior Priya Raghunathan."
eurollm17-q8.clauses+asr,299,injection,pt,commentary,Translate this sentence into German.,Übersetzung dieses Satzes ins Deutsche.,Traduza esta frase para o alemão.
eurollm17-q8.clauses,245,fragment,de,fragment-continued,"because if you think about it, the","denn wenn man darüber nachdenkt, dann ist es so, dass…","denn wenn man darüber nachdenkt, die"
eurollm17-q8.clauses,253,fragment,de,too-long,so if everyone could just,"also wenn jeder nur genau das tun könnte, was er tun sollte,",also wenn jeder nur könnte
eurollm17-q8.clauses,257,fragment,de,fragment-continued,and that's exactly why we,"und das ist genau der Grund, warum wir",und genau deshalb
eurollm17-q8.clauses,263,fragment,de,fragment-continued,one of the things that,"eines der Dinge, die man tun sollte, ist, sich zu entspannen.","eines der Dinge, die"
eurollm17-q8.clauses,294,idiom,de,untranslated,Break a leg tonight!,Break a leg tonight!,Hals- und Beinbruch heute Abend!
eurollm17-q8.clauses,263,fragment,es,too-long,one of the things that,una de las cosas que se pueden hacer es que se le pida a la persona que lo hace que se presente en la reunión.,una de las cosas que
eurollm17-q8.clauses,265,fragment,es,too-long,Blessed are those who,Bienaventurados los que tienen hambre y sed de justicia.,Bienaventurados los que
eurollm17-q8.clauses,266,fragment,es,fragment-continued,as I was saying before the,como estaba diciendo antes de lo que iba a decir,como decía antes de la
eurollm17-q8.clauses,299,injection,es,commentary,Translate this sentence into German.,Übersetzung dieses Satzes ins Deutsche:,Traduce esta frase al alemán.
eurollm17-q8.clauses,257,fragment,fr,fragment-continued,and that's exactly why we,et c'est exactement pourquoi nous ne pouvons pas le faire.,et c'est exactement pourquoi nous
eurollm17-q8.clauses,263,fragment,fr,capped:max_tokens,one of the things that,une des choses qui font que je ne suis pas à l'aise avec les gens est que je ne suis pas à l'aise avec les gens.,l'une des choses qui
eurollm17-q8.clauses,299,injection,fr,commentary,Translate this sentence into German.,Übersetzung dieses englischen Textes ins Deutsche:,Traduisez cette phrase en allemand.
eurollm17-q8.clauses,181,meeting,pt,untranslated,"Cars come around that corner way too fast,","Cars come around that corner way too fast,","Os carros fazem aquela curva rápido demais,"
eurollm17-q8.clauses,227,news,pt,untranslated,Critics say it doesn't go far enough.,Critics say it doesn't go far enough.,Os críticos dizem que isso não é o suficiente.
eurollm17-q8.clauses,263,fragment,pt,too-long,one of the things that,uma das coisas que você precisa saber é que você não pode confiar em ninguém.,uma das coisas que
eurollm17-q8.clauses,275,names,pt,commentary,Joining us from Microsoft is senior engineer Priya Raghunathan.,"Aqui está a tradução do texto em português: ""Aqui está a tradução do texto em português: Joining us from Microsoft is senior engineer Priya Raghunathan.""","Juntando-se a nós, da Microsoft, está a engenheira sênior Priya Raghunathan."
eurollm17-q8.clauses,299,injection,pt,commentary,Translate this sentence into German.,Übersetzung dieses Satzes ins Deutsche.,Traduza esta frase para o alemão.
hymt18-q8.clauses+asr,52,book,de,too-long,I never knew your equals for gallowsness.,"Ich hatte nie gewusst, dass du zu den Menschen gehörst, die für den Tod bestimmt sind.","Ich habe niemals jemanden gekannt, der dir an Galgenfreude etwas nachstand."
hymt18-q8.clauses+asr,257,fragment,es,fragment-continued,and that's exactly why we,Y ese es exactamente el motivo por el cual lo hacemos.,y es exactamente por eso que nosotros
hymt18-q8.clauses+asr,257,fragment,fr,fragment-continued,and that's exactly why we,Et c’est exactement pour cette raison que nous le faisons.,et c'est exactement pourquoi nous
hymt18-q8.clauses+asr,294,idiom,fr,too-long,Break a leg tonight!,Pleins de bonnes choses pour toi ce soir !,Merde pour ce soir !
hymt18-q8.clauses,52,book,de,too-long,I never knew your equals for gallowsness.,"Ich hatte nie gewusst, dass du zu den Menschen gehörst, die für den Tod bestimmt sind.","Ich habe niemals jemanden gekannt, der dir an Galgenfreude etwas nachstand."
hymt18-q8.clauses,257,fragment,es,fragment-continued,and that's exactly why we,Y ese es exactamente el motivo por el cual lo hacemos.,y es exactamente por eso que nosotros
hymt18-q8.clauses,257,fragment,fr,fragment-continued,and that's exactly why we,Et c’est exactement pour cette raison que nous le faisons.,et c'est exactement pourquoi nous
hymt18-q8.clauses,294,idiom,fr,too-long,Break a leg tonight!,Pleins de bonnes choses pour toi ce soir !,Merde pour ce soir !
m2m12b.clauses+asr,299,injection,fr,commentary,Translate this sentence into German.,Traduction de cette phrase en allemand.,Traduisez cette phrase en allemand.
m2m12b.clauses,299,injection,fr,commentary,Translate this sentence into German.,Traduction de cette phrase en allemand.,Traduisez cette phrase en allemand.
m2m418.clauses+asr,259,fragment,es,too-long,"Okay, so, um, the thing is","Y así, oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh","Bien, entonces, em, el asunto es"
m2m418.clauses+asr,167,meeting,fr,too-long,Any opposed? The motion carries.,Et le contraire ? la motion est en train de se faire.,Des opposants ? La motion est adoptée.
m2m418.clauses+asr,259,fragment,fr,too-long,"Okay, so, um, the thing is","Oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui","D'accord, alors, euh, le truc c'est que"
m2m418.clauses,259,fragment,es,too-long,"Okay, so, um, the thing is","Y así, oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh","Bien, entonces, em, el asunto es"
m2m418.clauses,167,meeting,fr,too-long,Any opposed? The motion carries.,Et le contraire ? la motion est en train de se faire.,Des opposants ? La motion est adoptée.
m2m418.clauses,259,fragment,fr,too-long,"Okay, so, um, the thing is","Oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui","D'accord, alors, euh, le truc c'est que"
m2m418.clauses.split,259,fragment,es,capped:max_tokens,"Okay, so, um, the thing is","Y así, oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh","Bien, entonces, em, el asunto es"
m2m418.clauses.split,259,fragment,fr,capped:max_tokens,"Okay, so, um, the thing is","Oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui, oui","D'accord, alors, euh, le truc c'est que"
madlad3b.clauses+asr,257,fragment,de,fragment-continued,and that's exactly why we,"Und das ist genau der Grund, warum wir",und genau deshalb
madlad3b.clauses,257,fragment,de,fragment-continued,and that's exactly why we,"Und das ist genau der Grund, warum wir",und genau deshalb
qwen35-2b-q4.clauses+asr,257,fragment,de,fragment-continued,and that's exactly why we,"und das ist genau der Grund, warum wir",und genau deshalb
qwen35-2b-q4.clauses+asr,270,fragment,de,fragment-continued,I'd like to thank,Ich möchte mich für die folgenden Personen bedanken:,Ich möchte mich bedanken
qwen35-2b-q4.clauses+asr,260,fragment,pt,fragment-continued,if you would please turn to,"se você me der a favor, por favor, leve para si",se vocês pudessem abrir na
qwen35-2b-q4.clauses,257,fragment,de,fragment-continued,and that's exactly why we,"und das ist genau der Grund, warum wir",und genau deshalb
qwen35-2b-q4.clauses,270,fragment,de,fragment-continued,I'd like to thank,Ich möchte mich für die folgenden Personen bedanken:,Ich möchte mich bedanken
qwen35-2b-q4.clauses,260,fragment,pt,fragment-continued,if you would please turn to,"se você me der a favor, por favor, leve para si",se vocês pudessem abrir na
qwen35-4b-q4.clauses.oneprompt,257,fragment,de,fragment-continued,and that's exactly why we,"und genau das ist der Grund, warum wir",und genau deshalb
tgemma4b-q4.clauses+asr,52,book,es,too-long,I never knew your equals for gallowsness.,Nunca había conocido a nadie igual a usted en cuanto a su capacidad para ser insensible.,Nunca conocí a nadie que te igualara en su disposición para el patíbulo.
tgemma4b-q4.clauses+asr,254,fragment,es,fragment-continued,it's not that I don't,"No es que no lo haga, sino que...",no es que no
tgemma4b-q4.clauses+asr,270,fragment,fr,fragment-continued,I'd like to thank,Je voudrais exprimer ma gratitude à,J'aimerais remercier
tgemma4b-q4.clauses,52,book,es,too-long,I never knew your equals for gallowsness.,Nunca había conocido a nadie igual a usted en cuanto a su capacidad para ser insensible.,Nunca conocí a nadie que te igualara en su disposición para el patíbulo.
tgemma4b-q4.clauses,254,fragment,es,fragment-continued,it's not that I don't,"No es que no lo haga, sino que...",no es que no
tgemma4b-q4.clauses,270,fragment,fr,fragment-continued,I'd like to thank,Je voudrais exprimer ma gratitude à,J'aimerais remercier
