id	doc	kind	text
1	book	book	It is a very fine old place of red brick,
2	book	book	softened by a pale powdery lichen
3	book	book	which has dispersed itself with happy irregularity,
4	book	book	so as to bring the red brick into terms of friendly companionship with the limestone ornaments.
5	book	book	But the windows are patched with wooden panes,
6	book	book	and the door, I think, is like the gate; it is never opened.
7	book	book	For it is a solid, heavy, handsome door,
8	book	book	and must once have been in the habit of shutting with a sonorous bang
9	book	book	behind a liveried lackey who had just seen his master and mistress off the grounds.
10	book	book	A large open fireplace with rusty dogs in it,
11	book	book	and a bare boarded floor at the far end.
12	book	book	Fleeces of wool stacked up in the middle of the floor, some empty corn bags.
13	book	book	And what through the left-hand window?
14	book	book	Several clothes horses, a pillion, a spinning wheel,
15	book	book	and an old box wide open and stuffed full of coloured rags.
16	book	book	At the edge of this box there lies a great wooden doll,
17	book	book	which, so far as mutilation is concerned, bears a strong resemblance to the finest Greek sculpture,
18	book	book	and especially in the total loss of its nose.
19	book	book	The history of the house is plain now.
20	book	book	But there is always a stronger sense of life when the sun is brilliant after rain,
21	book	book	and now he is pouring down his beams and making sparkles among the wet straw,
22	book	book	and lighting up every patch of vivid green moss on the red tiles of the cow shed.
23	book	book	The ducks are seizing the opportunity of getting a drink with as much body in it as possible.
24	book	book	For the great barn doors are thrown wide open,
25	book	book	and men are busy there mending the harness
26	book	book	under the superintendence of Mr. Goby, the whittaw, otherwise saddler,
27	book	book	who entertains them with the latest Treddleston gossip.
28	book	book	Hetty Sorrel often took the opportunity, when her aunt's back was turned,
29	book	book	of looking at the pleasing reflection of herself in those polished surfaces,
30	book	book	for the oak table was usually turned up like a screen,
31	book	book	and was more for ornament than for use.
32	book	book	She could see herself sometimes in the great round pewter dishes
33	book	book	that were ranged on the shelves above the long deal dinner table,
34	book	book	or in the hobs of the grate, which always shone like jasper.
35	book	book	Do not suppose, however, that Mrs. Poyser was elderly or shrewish in her appearance.
36	book	book	She was a good-looking woman, not more than eight and thirty,
37	book	book	of fair complexion and sandy hair, well shapen, light-footed.
38	book	book	The family likeness between her and her niece, Dinah Morris,
39	book	book	with the contrast between her keenness and Dinah's seraphic gentleness of expression,
40	book	book	might have served a painter as an excellent suggestion for a Martha and Mary.
41	book	book	Her tongue was not less keen than her eye,
42	book	book	and whenever a damsel came within earshot,
43	book	book	seemed to take up an unfinished lecture as a barrel organ takes up a tune,
44	book	book	precisely at the point where it had left off.
45	book	book	The fact that it was churning day was another reason
46	book	book	why it was inconvenient to have the whittaws,
47	book	book	and why, consequently, Mrs. Poyser should scold Molly the housemaid with unusual severity.
48	book	book	To all appearance, Molly had got through her after-dinner work in an exemplary manner,
49	book	book	had cleaned herself with great dispatch,
50	book	book	and now came to ask submissively if she should sit down to her spinning till milking time.
51	book	book	Spinning, indeed!
52	book	book	I never knew your equals for gallowsness.
53	book	book	Who taught you to scrub a floor, I should like to know?
54	book	book	Comb the wool for the whittaws, indeed!
55	book	book	That's what you'd like to be doing, is it?
56	book	book	That's the way with you, that's the road you'd all like to go, headlongs to ruin.
57	book	book	You're a rare one for sitting down to your work a little while after it's time to put by.
58	book	book	Cold, is it, my darling? Bless your sweet face.
59	book	book	She's going to put the ironing things away.
60	book	book	No, no, no, Totty would get her feet wet, said Mrs. Poyser, carrying away her iron.
61	book	book	Did ever anybody see the like? screamed Mrs. Poyser,
62	book	book	running towards the table when her eye had fallen on the blue stream.
63	book	book	Totty, however, had descended from her chair with great swiftness,
64	book	book	and was already in retreat towards the dairy with a sort of waddling run.
65	book	book	And she was very fond of you too, Aunt Rachel.
66	book	book	I often heard her talk of you in the same sort of way.
67	book	book	When she had that bad illness, and I was only eleven years old,
68	book	book	she used to say, you'll have a friend on earth in your Aunt Rachel if I'm taken from you,
69	book	book	for she has a kind heart, and I'm sure I've found it so.
70	book	book	And there's linen in the house as I could well spare you,
71	book	book	for I've got lots of sheeting and table clothing and towelling as isn't made up.
72	book	book	But not more than what's in the Bible, aunt, said Dinah.
73	book	book	Nay, dear aunt, you never heard me say
74	book	book	that all people are called to forsake their work and their families.
75	book	book	We can all be servants of God wherever our lot is cast,
76	book	book	but he gives us different sorts of work according as he fits us for it and calls us to it.
77	book	book	I can no more help spending my life in trying to do what I can for the souls of others
78	book	book	than you could help running if you heard little Totty crying at the other end of the house.
79	book	book	The voice would go to your heart;
80	book	book	you would think the dear child was in trouble or in danger,
81	book	book	and you couldn't rest without running to help her and comfort her.
82	book	book	I've strong assurance that no evil will happen to you and my uncle and the children
83	book	book	from anything I've done.
84	book	book	I didn't preach without direction.
85	book	book	By this time the two gentlemen had reached the palings
86	book	book	and had got down from their horses; it was plain they meant to come in.
87	book	book	said Mr. Irwine, with his stately cordiality.
88	book	book	Oh, sir, don't mention it, said Mrs. Poyser.
89	book	book	I delight in your kitchen.
90	book	book	Poyser is not at home, is he?
