# S5 spot-check: 24 clauses x es/fr/de/pt (+zh from the reference only). ref = gemma-4-26B-A4B pseudo-reference.

## 2 [book] softened by a pale powdery lichen
  es ref          | suavizado por un liquen pálido y polvoriento
  es opus         | suavizado por un líquen pálido y polvoriento
  es m2m418       | de la que se levanta un lichen de polvo
  es madlad3b     | Ablandado por un liquen polvoriento pálido
  es hymt18-q4    | ablandado por un líquido pálido y polvoriento de líquen
  es qwen35-4b-q4 | suavizado por un líquen polvoriento pálido
  es gemma4-e4b-q4| suavizado por un lishén pálido y polvoriento
  fr ref          | adouci par un lichen pâle et poudreux
  fr opus         | adouci par un lichen pâle poudreux
  fr m2m418       | Soulagé par un palle de poudre
  fr madlad3b     | Adoucis par un lichen poudreux pâle
  fr hymt18-q4    | adoui par une mousse pâle de lichen
  fr qwen35-4b-q4 | adouci par un lichen pulvérulent pâle
  fr gemma4-e4b-q4| adouci par un lichen pâle et poudreux
  de ref          | abgemildert durch eine blasse, pudrige Flechte
  de opus         | weichgemacht durch eine blasse pulverige Flechte
  de m2m418       | mit einem pale Pulver Lichen
  de madlad3b     | Erweicht von einer hellen, pudrigen Flechte
  de hymt18-q4    | ausgeglichen durch einen blassen, pulverartigen Flechten
  de qwen35-4b-q4 | durch ein blasses, pulveriges Flechten belichtet
  de gemma4-e4b-q4| abgeschwächt durch einen blassen, pudrigen Flechtenbewuchs
  pt ref          | suavizado por um líquen pálido e pulverulento
  pt opus         | suavizado por um líquen em pó pálido
  pt m2m418       | Enxergado por uma lichen de pó pálido
  pt madlad3b     | amolecido por um líquen em pó pálido
  pt hymt18-q4    | amaciado por um líquen em pó pálido
  pt qwen35-4b-q4 | amolecido por um líquen pálido e pósporo
  pt gemma4-e4b-q4| suavizado por um liquen pálido e em pó
  zh ref          | 被一层淡色的粉状地衣所柔化

## 6 [book] and the door, I think, is like the gate; it is never opened.
  es ref          | y la puerta, creo, es como el portón; nunca se abre.
  es opus         | Y la puerta, creo, es como la puerta; nunca se abre.
  es m2m418       | Y la puerta, creo, es como la puerta; nunca se abre.
  es madlad3b     | Y la puerta, creo, es como la puerta; nunca se abre.
  es hymt18-q4    | Y la puerta, creo, es como un portón; nunca se abre.
  es qwen35-4b-q4 | y la puerta, creo, es como la puerta; nunca se abre.
  es gemma4-e4b-q4| y la puerta, creo, es como la puerta; nunca se abre.
  fr ref          | et la porte, je crois, est comme le portail ; elle n'est jamais ouverte.
  fr opus         | et la porte, je pense, est comme la porte; elle n'est jamais ouverte.
