wall_ns	lane	clause	pts_ns	wait_ms	text
1790323007713172161	0	14	41653113551	16.1	Pind the
1790323008212845386	0	14	42153113551	17.2	livered
1790323008879279288	0	14	42819780218	15.9	lackey
1790323009379610332	0	14	43319780218	17.3	who had just
1790323010045824441	0	14	43986446884	16.7	seen his
1790323010580102967	0	14	44519780218	17.7	master and
1790323011079387186	0	14	45019780218	16.5	mistress off the
1790323011912696692	1	14	45853113551	25.4	Pind el lacayo hígado que acababa de ver a su amo y amante fuera de la
1790323011912709253	2	14	45853113551	24.7	Pind le laquais foieé qui venait de voir son maître et sa maîtresse hors de la
1790323011912714344	3	14	45853113551	24.3	Ich habe den elterlichen Lakaien gepinkelt, der gerade seinen Meister und seine Geliebte gesehen hatte.
1790323012212894426	0	15	46153113551	15.6	grounds in a
1790323012746164240	0	15	46686446884	18.2	carriage
1790323013246227772	0	15	47186446884	17.9	and
1790323013413345879	0	15	47353113551	19.2	pair
1790323014212752823	1	15	48153113551	7.7	motivos en un carro y un par
1790323014212764318	2	15	48153113551	6.9	les terrains dans un chariot et les paires
1790323014212770451	3	15	48153113551	6.6	Gelände in einer Kutsche und Paar
