word	start_s	end_s
IT	0.581	0.621
IS	0.681	0.761
A	0.761	0.821
VERY	0.841	1.001
FINE	1.081	1.301
OLD	1.381	1.501
PLACE	1.581	1.902
OF	2.262	2.302
RED	2.342	2.582
BRICK	2.682	2.943
SOFTENED	3.803	4.324
BY	4.384	4.504
A	4.544	4.644
PALE	4.684	5.064
POWDERY	5.525	5.945
LICHEN	6.025	6.366
WHICH	7.527	7.727
HAS	7.747	7.907
DISPERSED	8.067	8.548
ITSELF	8.628	9.048
WITH	9.348	9.508
HAPPY	9.548	9.869
IRREGULARITY	10.049	10.830
SO	11.650	11.750
AS	11.870	11.910
TO	12.011	12.071
BRING	12.131	12.311
THE	12.411	12.531
RED	12.551	12.731
BRICK	12.851	13.092
INTO	13.572	13.732
TERMS	13.812	14.152
OF	14.192	14.233
FRIENDLY	14.333	14.713
COMPANIONSHIP	14.893	15.794
WITH	16.374	16.495
THE	16.535	16.615
LIMESTONE	16.635	17.195
ORNAMENTS	17.315	17.736
SURROUNDING	18.036	18.516
THE	18.576	18.696
THREE	18.716	18.917
GABLES	18.977	19.417
THE	20.038	20.098
WINDOWS	20.158	20.578
AND	21.079	21.159
THE	21.179	21.279
DOOR	21.279	21.459
PLACE	21.519	21.819
BUT	23.101	23.201
THE	23.221	23.321
WINDOWS	23.341	23.782
ARE	23.882	24.022
PATCHED	24.042	24.442
WITH	24.603	24.803
WOODEN	24.803	25.063
PANES	25.163	25.604
AND	26.225	26.305
THE	26.325	26.405
DOOR	26.465	26.725
I	26.905	26.925
THINK	27.046	27.266
IS	27.686	27.746
LIKE	27.806	27.967
THE	28.007	28.087
GATE	28.127	28.407
IT	29.208	29.248
IS	29.328	29.388
NEVER	29.428	29.629
OPENED	29.729	30.009
FOR	31.131	31.251
IT	31.371	31.411
IS	31.511	31.652
A	31.672	31.712
SOLID	31.792	32.232
HEAVY	32.593	33.033
HANDSOME	33.234	33.674
DOOR	33.754	34.014
AND	34.836	34.896
MUST	34.956	35.156
ONCE	35.336	35.516
HAVE	35.677	35.857
BEEN	35.877	36.117
IN	36.137	36.177
THE	36.217	36.317
HABIT	36.337	36.558
OF	36.618	36.718
SHUTTING	36.818	37.178
WITH	37.359	37.499
A	37.539	37.599
SONOROUS	37.759	38.240
BANG	38.320	38.660
BEHIND	39.301	39.622
A	39.742	39.762
LIVERIED	39.842	40.242
LACKEY	40.342	40.703
WHO	41.324	41.384
HAD	41.444	41.524
JUST	41.564	41.764
SEEN	41.804	41.965
