wall_ns	audio_ts	audio_te	text
1790322968795489940	4.059	4.139	It
1790322968795489940	4.459	4.539	is
1790322968795489940	4.539	4.619	a
1790322969296557517	4.619	4.699	very
1790322969296557517	4.939	5.019	fine
1790322969296557517	5.099	5.259	old
1790322969826484434	5.259	5.419	place
1790322970330685780	6.059	6.139	of
1790322970330685780	6.139	6.379	red
1790322970661711161	6.459	6.779	brick
1790322972561059652	7.603	8.083	Softened
1790322972561059652	8.163	8.243	by
1790322972561059652	8.243	8.323	a
1790322973594658536	8.483	8.883	pale
1790322974094658764	9.283	9.683	powdery
1790322974293339742	9.843	10.163	lichen
1790322975794616018	11.376	11.456	Which
1790322976295838075	11.456	11.536	has
1790322976295838075	11.936	12.256	dispersed
1790322976794843144	12.336	12.656	itself
1790322977494906033	12.896	12.976	with
1790322977994963594	13.136	13.376	happy
1790322978661650228	13.696	14.336	irregularity
1790322980030022842	15.624	15.704	So
1790322980030022842	15.704	15.784	as
1790322980030022842	15.864	15.944	to
1790322980030022842	15.944	16.104	bring
1790322980528365383	16.104	16.184	the
1790322980528365383	16.264	16.504	red
1790322981027726188	16.504	16.824	brick
1790322981728434927	17.224	17.464	into
1790322981728434927	17.464	17.624	terms
1790322982229118510	17.704	17.784	of
1790322982760640194	17.864	18.264	friendly
1790322983593484838	18.584	19.384	companionship
1790322984829153121	20.227	20.307	The
1790322985295933569	20.467	21.027	limestone
1790322985994357862	21.027	21.507	ornaments
1790322986494308978	21.747	22.067	surrounding
